entry,date,n_month,month,text
81,Thurs March 21,03/1912,March,Very tired .. Spent morning getting up Kremer surroundings. and not quite satisfied with effect .. Could not get shadow very well arranged... Much stretching up.   Did not want to move sofa so lay down on it in studio.   Beginning 'Antoinette'. Pictures coming back.   Snow and cold after rest called G's and got Fran to go with me to see the Sargent watercolors. at Durand Ruels. CHARM. How I would love to do just such things.   Walked all the way back. .. Mrs Br4 had called up asking me for Mona ' Sat and I went in to G's to din. H up and better.   Came home early to write and succumbed on sofa to 'Antoinette.' Then wrote accomplishing quite a little 'thanks.'
82,Fri March 22,03/1912,March,Pretty good night and up betimes.. expecting Kremer. At ten punctually and dress too light as I feared. I shall have to subdue it with chiffon. and var ious divices. She brought Rienzi to read and nice girl came and read every moment. Feel a little puzzled over background.   Was ready for Fitchie and party at four but they did not come till half past the usual way. Mr C. Dekay called up ask to come. Is to write about me for 'Good housekeeping.'   Mr and Mrs Birckhead and his mother came on top .. the dea  to see the drawing. enthusiasm. Then a young man to ask me to speak to a Teachers Club at Columbia. Mr Dekay then and loo ing at photos to use. Discussed selling the Dreamer.. and go me to go over to the Nat Arts Club to see where it could be hung. Back to din here with Joan Mrs G. in bed with cold. Up there for a while after and then J and I went out for quite a walk in lovely night air. To Quaker school house on vesant square and heard music from within.
83,Sat March 23,03/1912,March,Woke up feeing very mis and not wanting to get up.. Bath improvCd somewhat and got ready for K. who came promptly and reader. A few changes and got along pretty well but don't like canvas as well as I wished nor dress nor anything. It is always so when the comp doesnt happen.. Worked on brow and eyes.  She very sweet and nice. Shall be quite fond of her. Anna cooked me chop and I hoped to feel able to go to Opera butgave out and called up Fran who took the ticket. Long rest and some sleep but still feeling wretched. Dressed and went out and met Fran. To G's .. H on the bed but be ter. While I worked on pic before going out A purple box came. Violets. dear Dunn. Anna in extasies.  At seven when I came back from G's called him and finally got ..though another male voice tried to fool me and got left.  Very dear and wanting me to dine with him tomorrow.. night. Of course I was only too glad. Somethign to look forward to.  Din here with Joan. and reading on lounge after.  Antoinette.
84,Sun March 24,03/1912,March,Spent morn writing etc.. and went for short turn. Din with girls at 24.  and back to rest to be fresh for eve. Rain buB did not matter. Violets very fresh.   Dunn came at seven with taxi. looking very beautiful.   To the Lafayette Ratyer risque and very gay .. But we had very serious talk. and always so much to say.. I hope I was not too flatteur.. Back in pour and then dear time reading. I introduced him to Geo Herbert and we spent a precious hour on the sofa.. both having had the ex7erience of religion and knowing what it meant.. He stayed till eleven. Such times dont happen often. We also talked a good deal of A.P.A and he made some pretty keen criticisma of him .. They would never like each other. and I almost fear I talked too freely. It would be so hard for ANY one to understand my position. He wished to leave the subject and we soon passed to othere things.  I could watch his beautiful smooth black head and white forhead and never tire. He has the LOOK of thought in his actual modelling of his face.
85,Mon March 25,03/1912,March,Woke feeling very guilty about having talked so about A.P.A. but in the mail was letter from him . meant to be nice but reflecting the tone of the atmoshere he breathes now.. He actually invited me to Green Alley . and has got the little devorcee with Ethel Roosevelt to come to R R for Easter. I am sure he has made her believe that I am coming. Mrs Gardner also..   Could not quite do it without giving me some kind of  n invite . but who else would would have thought of inviting Ethel without me..... I wrote an answer that day refusing aimiably enough. I did not feel resentful chiefly because I did not fee much. any way.   Nothing from Sl. who he says is to have two or three people at Beauport. I am very glad that my excuse is a real one. I cannot leave my work now and would not even if I wanted to do it. Went out in aft to see the Portrait Ex. and met Tucker there and Dr Dade . Poor show and a stuffy velvet lined place without daylight.  Ernesta's head the only thing I sent. Found Clayton Johns when I got back . So pathetic but much better than I feared. Nice talk and hope he will come again. Then Mrs. Low.  Din here and sat with Mrs G after . Rather depressing.
86,Tues March 26,03/1912,March,Wonderful day .. Mrs K. and reading Dombey . Head had stayed wet and I went right on with it.  Just like a Gilbert Stuart I dont mean the pic but her head.  Worked till after one and and was dead tired. Long rest and int by a model who almost scared me. T o t red to walk but went in to Mrs Rumsey'd and gossipped Din here and with the Glenny's after . looking at mags. Nice note from Wilkie who has been ill. .. Wrote to him at once. ..
87,Wed March 27,03/1912,March,Wonderful morning and started out early on top of bus for many errands and picture shows. First to 57 st and soon met Walter Palmer there. Pretty bad lot of pics but if it had not so warm and my furs so heavy would have had a very jolly time jollying with Mr P. We then went off to the Ten Painters. Weir the only good .. others much gone off. To Madison Gallery to see pics of young Weiss. asked to bu Mr Taylor. Then to Of tosee about Mrs Clement and home dead beat. Anna had good lunch for me and the photos of the Wash pics ha come Haeseler.. Pretty good only proofs. QAt last queer little note from Jack . A great effort. The dear boy needs a little neglect.  Don't think he has written to either the Glennys or Gilders a shame. I shall take no responsibility about this. Was resting and finishing Leonora when Ros called and I went in Ditson's motor with Helena. to park .. and tea there after Also later to 24 to din and with H and girls after So good to have her up and actually sewing. Read me a long int letter f from Nannie Sedgwick.   Note from Wilkie saying he was to be at the Guerin's din on Thurs. Wish I could take him to the Fairchilds after.
88,Thurs March 28,03/1912,March,Rather dark but Kremer came and I got on very well throat and jewel. A green button of mine instead of her pearls. Reast in aft and no one came .. To Guerin's dinner at 730 in scarlet satin. Wilkie there but did not sit by me alas. Came for ard very empresse looking very pale. Delightful time at table between Pres Finley and Guerin.  Fine talk with F. and it was hard to have to leave for the Fairchils party before the men came up. W rushed out and caught me on way up stairs but was not going. Party at Colony club. Durbar moving pictures Wonderful and very pleasant after though not thrilling Welling told me Wilkie was over working Two kinds of business.  Back feeling rather depressed.
89,Fri March 29,03/1912,March,Rain and muggy. Jrs Clement came from Of's badly stretched and I had to have Anna and a colored boy do it all over again. Went to Mrs D Robinsons at 3.30 to hear Jaccacci. Small number of women including Joznna and F Markoe. and was very glad to see Mrs R again after all her troubles. looking just the same. Jaccacci read paper about his book. Notable pictures in America. Had talk with Mrs Marquand and Mrs LEAVITT about Birkhead. Joanna came down in car with me. They are going to Europe and the Halls are to have their house  Anna got me early supper and I got off for Phil in seven train. Such a quuer thing to do and I dont like it. Hansom to 1914. Al the fam in Morstein but the servants took good care of me and I was very comfy.
90,Sat March 30,03/1912,March,Up betimes and off in carr to get brushes etc.. Mr C came a little before I was ready VERY difficult. So big and so full of modelling. I began to feel somewhat worried. but he is encouraging.   Had lunch there and back to rest  No one here and I decided to go to Emma's to din. after getting Maria Lansdale to come to tea and go to drive. To the park  Lovely day and all looking beautiful Nice to get so much air. Rather boring at Emma's. Her two Mac Taggarts. Hom e early and to bed.
91,Sun March 31,03/1912,March,Off again and did not feel like it. Seemed like Sunday. Got started at ten and had very long morning. Back to heavy lunch alone as Caroline did not come. Long rest reading Brieux play. Maternite. A false note. Had teled to Mrs Jayne and went down there to tea at five.. So nice to see them M came in to and we had long talk. Then to Williams. to din en fam. Talcott ther and very sweet They liked my hair and I did Sophie's for her.  T walked home with me telling all ablut new plans for life in N.Y. 1914 very  big and lonely.
92,Mon April 1,04/1912,April,Lovely day went first to Acad to see May's copy. Very anxious about the portrait and crazy to get at it. Prettty good morning and did not want to stop even at one.  Lunch there and found Anne when I got back  The coming operation casts a shadow but she is very brave.  Long rest and no real fresh air. 0 yes I went in car alone to Bartrams garden. a bleak trip not like the other time. No word from Wilkie and I was disappointed and dont understand. Caroline came to din and we three talked in eve. Did not want to do anything else but stay with Anne.
93,Tues April 3,04/1912,April,Woke up feling very down about portrait. but better up. Good bath and shower. Letters but nothing from Wilkie. To see photos at Haeselers. .  and leave cheques at bank. Went farther down and stayed after lunch working on back ground and got Taws to come and stretch canvas agin changing it somewhat.. Went back in cars and saw Anne for a while rest after reading terrible un mentionable French play. Caroline to din and we all tried to be gay. Anne's last eve for a good while. John showed me books in library and Mr Lewis came. More talk with Anne and Caroline and to be d after reading.
94,Wed April 4,04/1912,April,"Up early so rejoiced that it is the day to go home. To Acad after little talk with Anne,. May first and went to the class very cross.  Blew things up a good deal. Carriage at twelve and after more time with May to Golbornes and got the white dress put thfough. CFound Anne ding things in parlor and very depressed hearing of Dr Musser's death. She to go to the Hospital atvfour. I leave at 3.30. Caroline to lunch and John very silent. we trying to be cheerful.  Talk with Anne and Car after lunch and I did not try to lie down. Said good bye to dear Anne and left in hansom so glad to be off but thinking of litle but her. Pretty good trip and Anna met me at station. Fire in 19 st. So glad to get back never so much.  No news from Wilkie but Thomas had called up and did again later. Is going to G for Sunday I thought so. Called up Wilkie and Miss Brown ans. He quite ill .. I sent messages by request. I don't like it."
95,Thurs April 4,04/1912,April,Had Mrs K and got on quite well. have put a black buckle in cream lace in front that pleases me.  Still reading Dombey and tears nearly interfere with painting. Got note off to Dunn asking him to come to sup tomorrow or Sat.. Nothing from W and it gets queerer.. Decided to go there and inquire and call on Miss Brown the lame sister.. and after rest got myself up and went. Found her in her chair in parlor having tea.. Was given some idea of the illness but not much. Comes down to meals and refuses care. which makes it queerer. Little boys ran in and I left abruptly as the littlest announced supper. Walked back. and went in to din at 24.   Helena has been out. Fran and Ros went to Theater with Reese Alsop. JayChapin's fiance.. and I sat all evening by fire with H. while she embroidered for her coming grandchild.
96,Fri April 5,04/1912,April,Getting very warm. and lovely day I am horrid enough to want it to get cold and stormy.. Wasted morning not doing any of the chores I ought but finally went to the Ascension with Dorothea. Some lovely music but barren instruction and I felt hardened by it. when I was prepared for the opposite. Walked home my thoughts going down 12 st.. Very unlucky day for me and the ebbing condition. Tel from Dunn's VALET in morn that he could do none of the things he asked. .. Lunch here and at 2.30 off in Herters Auto with the G's t_ a florists up town. Long tou and stopped to see the Matisse's. As foolish as I expected. Back to tea at the G's and also to din there. Fran put on an exquisite costume and read to us and I took her to Glenny to give them a little pleasure. Got a rhododeandron for Mrs Guerin. ..  Feel abandoned and very low.  It seems to matter to me that W should choose to do this.. or rather that. He must have been mortified by some thing I did. ending by 'Mr Wilke.'   Yesterday I had a lovely letter from Terence. Th only bright spot. Hav'nt even any book yo read but Bergson's Laughter. No word from Ethel Roosevelt about going to G. This is Queer too.
97,Sat April 6,04/1912,April,Very warm and wonderful day.. Expecting Mrs K but went out with Fran and Ros to the Flower Market in Union Square. Delicious and I got things for H. and Rumsey. Almost for 152 but refrained. Got back just in time and Mr K came in and was pleased with pic. Did not feel much like work and it dragged somewhat so did not do imortant things. Very blue all day and feeling bereft. Nothing from Dunn. .. Birkheads sent lovely hydrangea and I ruined it by putting it in draught. Climber H and the girls. and dead azalia from Rumsey. New volume from dear Anne. Arnold Bennett short stories. Immediately thought just the thing to send to W. ..for several reasons. and sent Anna off with it and note to Joanna. At five a lift in the form of a wonderful yelow broom plant sweet scented and perfect '' A happy Easter' on card. writing a little shaky and pathetic. Pretty bad that it should have had the power to administer peace. but it did.. and I was ga for the rest of the day. Called up Ros and we sat a long time in Gramercy. till din and I went there. Back early and to see Mrs Glenny whom I found alone and she told me bad news of herself .. which I dont think she should have done .. poor creature. Could not get to slep though I had some pleasant thought and had to get up and read till back got kicks out. .. Read diary and felt that this winter had brought some wonderful things.   Nice little visit from Jim .. in good spirits.
98,Sun April 7,04/1912,April,Exquisite day to begin .. Wrote and did work on Mrs Clement varnishing. .. In to lunch at G's and back to prpare to go to Phil in three reain. No time to rest but Dunn called up and I had dear little talk. just starting on his western trip. So glad I did not miss this.. Anna accompanied me to train and journey was all right but a cold rain began as we got to West Phil station and I got chilled waiting drearily for Wynne wood train. Harry's dear face wyen arrived but we had to go on to Ardmore as there was no hack. I wish it did not seen dreary to me there .. cant think why. The beloved well and happy. Sophie welcoming but we could not go out. Firs and after din they played for me. and H took me to train. Alone at 1914 but comfy.
99,Mon April 8,04/1912,April,Went straight to studio and had ample time to prepare. Got on pretty straight and Mr N always encouraging. Working on head.. all the time. ..Luncj there and right home  Long rest and reading Columba.. ou t and to call on Annie Meigs  Out also Miss Irwin who came to see me. ...and I was out  Din with John and after we went out to the hospital and saw d dear Anne . who is surprisingly well. Back and tobed after looking at some wonderful Persian books of John's.
100,Tues April 9,04/1912,April,Rain but did several important things.. first . in carr. HaCselers bank etc . Mail from N.Y. and a good little note from W. ..thanking for book. Quite exciting morn with N. Got at eyes and felt quite flossy. and gay.. Back and res and at four H Mc Carter by appointment . So nice to see and we had tea and talked much .. alas only about horrid people. . I went out after and got some little roses for Anne but did not go out as I expected . Went with Jim to dine at the Marke Also Gwyn and after to G's to have coffee. and smoke . So sweet to have dear J.
101,Wed April 10,04/1912,April,"Dont care to write about these days . Went to Girard and g got ticket and then to st. ..Very rezdy when N came and did good work on head so I could leave it feeling all was well He very pleased.. Back straight but very little time to rest . Off in hansom to four train and dozy and comf tripback reading Columba. ..Anna met . Lovely eve.and so glad to get to this dear place. Nice note from W and a good d deal of mail. Had dear little talk with Harry before leaving a and arranged to go with them to Kneisel on Mon. Went down to din and saw the Glenny's jolly . heard H was not sonwell and without taking off hat went in ..  She horrid asthma .. How I hat e the word and so gld to see me. Sat with her and Ros and tried to entertain them., To bed very tired of course. Found Stoyevsky's card and muc else . I hate to miss the days here."
102,Thurs April 11,04/1912,April,Nice little note from A.P.A telling of the Sunday and saying some very feeling things of E.R. This is well. Not a sign fro Sl or Jack for long.. They will have to speak first. Called up by Mary Hale and got her and Richard to come to t Tea in aft. Also invite from Mrs. Child. to din. Mrs K but di did not do very well and am working on hezd stale. Dombey reading but she sleepy. .. Very down physically and was glad to have a motor turn with Ros in Herters car from four to five tho I missed a call from H. Sedgwick. Hale's at five. Delightful to have them .. also Mrs. Child. Din downstairs and trying to prepare for my talk at Columnia. Young Saks came for me and I had to go way up there in subway talking all the time. Room full of students and teachers mostly women. Did not feel I had much to give. Dr Dow came after a and said it was well. Young Saks took me home and we walked through the Union The Seminary. A beautiful building some manque Very tired of c urse.
103,Fri April 12,04/1912,April,Mrs K. and rest .. was at G's in eve when Sl called up from Thomas's and wanted me to come in there to party. Hesitated bu went home dressed and George G And I went in. Found queer gay people... and a party have silhouettes cut .. Musicians. including Courtland Palmer and sister. also two singers. Did not feel MUCH but was not sorry I went Sl quite absorbed by Thomas. agood thing. Arranged to spend some time together next day.
104,Sat April 13,04/1912,April,Mrs K and was called by Sl wanting me to spend afternoon with him . Sent Thomas's car at 2.30 and took me up to aution where he was buying for Thom. Fun and like old times to be with him.  Rolled around in auto after until it was time to leave him and meet D at Macbeth's. From there to F Matthews stidio to talk Greece Very nice and we took taxi back as it rained A very jolly day. Nothing in eve.
105,Sun April 14,04/1912,April,A day we afterwards knew to be fateful...The Titanic Wreck and how strange that we and all the world felt no tremblings of fate and horror.  Of course we did not know it till the next noon..I wrote and did usual chores and went to the Mallet Prevost's to lunch with Francesca. Clayton Johns there and all very pleasant...Off to Phila in the 6.34 train and to Lewis's without events.
106,Mon April 15,04/1912,April,Got on pretty well. Went in eve with H and S to nice concert The Kneisel.  Anne getting on very well. Titanic
107,Tues April 16,04/1912,April,Newbold as usual.  Don't remember these days but are unimportant.  Drove alone to the park if I remember right. No one speaks of anything but the great horror.  A most unjust and unnecessary blunder or rather stupid reckless carelessness of everything but SPEED for the rich. I am keeping the record.
108,Wed April 17,04/1912,April,Went home at three so as to be able to rest for the Rumsey's dinner.  Anna met and how nice to get back. Charming time at the din Sat by my host.  Fine talk. Durand there whom I have not seen for long as he never comes a young artist Faulkner on other side.  Mr. Rumsey came after to talk more also Durand.  Delightful eve.
109,Thurs April 18,04/1912,April,Took holiday and shopped...got hat and other things and was quite tired out.  Nothing much else happened.  No signs of Wilkie but I learned after that he is quite ill.
110,Fri April 19,04/1912,April,Mrs. K and working on head.  Rest and go in car with G' The Childs dinner in eve.  Funny little house way up town.the Couderst.. and Dr. Patterson.  sat next. and to the ho Very jolly. and hospitable but learned that JLw was ill again.  Of course everyone talking of the Titanic.  It gets worse and worse..   Anna came for me and I had car only one way.
111,Sat April 20,04/1912,April,Mrs. K and I called up Miss Brown to ask after L.L.W. Out she said but had been very sick.  In aft just before I left nice note from him. written before... Off in three train and got off at W. P. Jim on platform and went out with.  Dear H to meet and swet eve.. near him. Some music.  Bed early. and pretty good rest. ( a p 21 Sunday.  My H as fresh as the morning and ready f for sawing wood in the field on which I accompanied him Working out all day. over their beloved place..) Dear H more wonde fllyand clear eyed all the time.  What a husband..He saw me to train after din in eve. and I got home very weel for dear Jim met me in station and took me to 1914. I wish I could be as happy about him.
112,Mon April 22,04/1912,April,At it again and beginning very difficult hand. He very jolly and acc modating. Back to rest and too tired to go to Jaynes party. To hosp in car iage to see dear Anne. so much better. SI dining with Caroline Sinkler. I did no see. To the Lansdales to din Prof Jonson Englishman who lecture at Jaynes and wf. and Eliza Cope.  Jolly time only talking of Titanic. of course.  To a concert and not very good A man took Maria and me to have icecream after. and me home. (All nice people but everything here seems gloomy and depressing to me. If it were not for my Harry I would wish never to see the place again.)
113,Tues April 23,04/1912,April,Stopped on way down to get Columba for Anne.  Worked tremendously on hand..but cannot be sarisfied.  He very nice about it.  Rest and in aft long drive with Caroline. L.   Delightful but very tiring. and late for getting ready for Oakleys..Down to din there very cosy and lovely house and sweet time with them. The drawing on parlor wall.   T took me home..
114,Wed April 24,04/1912,April,20 Gramercy So glad to think back. to day.  Began earlier and had tremensous day..Hand and surroundings.   To have four days ne next week.  Back to have short rest and getting off in four train.  Stormy and cold but blessed to get back.  Anna to meet of cours..Had John Christope to read in train.   Too tired for anything but getting out of clothes. but went up to Glenny's and  Fran came in for a little while.
115,Thurs April 25,04/1912,April,  Had Holiday as I felt painted out and told Mrs K not to com ..Spent the whole day after shopping. in shops getting much postponed spring clothes.  Suit and two wraps. and blk hat very light.    Terribly tired.     Dined here but went in to G's after.   Richard  Chum ones ther. Sat by Helena. but went home early
116,Fri April 26,04/1912,April,Aunt Eliza's birthday. Lovely morning.. Was caller by J.L.W. early and wanted for din and spree . Very jolly but could not and arranged for next day.. Very cheerful. KKremer and I got some writing first. Work  on other arm and shoulder. Wish I did not have to stop this.. and break in with Mrs P and Phila. How I do dread it. Good reast after lunch and was wondering how I should get air with my tired legs when chance came to go out with the G's in new motor.  Went in there and found Perrine. So nice..We had smooth whirl but I had to make them come home to soon as I had to dress for the Petersons.. Mrs Gottlieb had called up in morn and came for tea at four and we had some talk of Wilkie. ..He will probably go to Europe this summer. In terrible taxi to Petersond. Dr Dana and a Miss Grimes a sc sculptor..and Chas Furguson whose book Religion of Democracy I read long ago. A great talker or rather lecturer and I wanted to suppress him though very clever. Got the floor myself once or twice. Then to Veltin school to hear Gilbert Murray a great event for me. ..All I hoped for and I had a few words with him after. also int to Lady Mary Murray. 'The Greek Chorus ' Very illuminating to me.. Dr Dana very pleasant next to me. Brought home in their car.
117,Sat April 37,04/1912,April,Lovely morning.. Got some writing done first and than Mrs K Working on arm and hand not very good and now must wait quite a while before going on. Finished Dombey. Good rest and in to G's for short time for tea. ..Dressed for the evening with J.L.W. and he came late looking wan and was not in very good spirits. but it was a thrill to see. Off in taxi to Lafayette and had to wait a long while fo for din . At last and so well ordered and good . Dry vermuth se set us both up and we had very long and serious talk. Not likght as I expected . Of course said things I wish I hadnt Back here at II.30 and then till twelve . Showed Uncle Will and told about degrees. Cannot have much of this.
118,Sun April 28,04/1912,April,Lovely day. Much writing all morn .. and in Gramercy Park before and after din at the G's. Only a little time for rest and to 6.34 train. Pretty tired when got there but glad to go to bed in my nice room. 1914 Spruce Nie Lewis's
119,Mon April 29,04/1912,April,Got on pretty well and feel hopeful of getting on this time so that I wiol have to come only once again. Rain .. but at four after my rest I went in the carr to the Cathedral to see H Thorons big decoration. Very much impresse He there with flowers. and very appreciative. Then in carr out to Hospetal to see Anne who was up. John there so we had not much talk. Din with John and the boys and to Witherspoon to the Kneisel concert. Dear Harry met at the door. so delightful to be with him there. John Ingham came to talk. I had th carr and took it to station.
120,Tues April 30,04/1912,April,Dentist The dreaded morning .. to Darby at 8.45. He hurt me badly though he said that there was not much to do and that many girls of twenty had not halk such teeth as I. Good long time to prepare at the studio and got on well. Home rather early and had good rest. Dear Etta cameat four an had good talk .. after she left I to see Miss Irwin but out. Caroline Lewis came at seven and H Touron to din. Quite jolly and not bored though they stayed rather late.
121,Wed May 1,05/1912,May,Lovely day but I dont like these annaversaries. Got off to studio and did well. Mr Newbold much pleased. and I like it myself . The knee arrangement had come off better than I feared. .. Had lunc at the L's and at three 15 Mr Newbold came in his big car and took me off to his place in Jenkinton Very lovely place .. Nice Englishwoman and three good lookin children . Saw my portrait of his wife and better than I thought though very badly hung. Is to be changed.  Autoed me over to Wynnewood to H's where he was working in garden. Took some photos of H. and dined with them . Cant help worrying about the food there though H looks si well. Home alone very tired They had very little to eat
122,Thurs May 2,05/1912,May,"My last day at the picture till I come to see about the from frame. and I felt quite regretful abo ut my nice room .. Got on well and really felt done all but what I can very do , it SEEMS, once  more. Just two months. Got myself packed and off at four train and Anna met .. Din here and after I called up J. W to ask to go to the Untermyers on Sunday. Very jolly but couldnt. Proposed at once my going to dine with hi some wher tomor ow. Arranged. Very satisfactory. Fran came in. Too tired to go there."
123,Fri May 3,05/1912,May,Mrs Pomeroy and went right to work on head. Drawing dont seem to be right and I wish I liked the ensemble better. Rest and  had to get up sooner than I wanted to go to fitting for siut. John Lathrop wanted to come at two and the frie of Emily Sydam at five and both would have freely accepted an entire dismemberment of MY plans rather than change a bit of theirs though the proposal was all from them. I Just WOULDNT. and am now considered very cold and unaccomodating. Had some chance for more rest and got ready for J.W. who did not come till 7.30. Cannot have many such times . We went to the Lafayette again but not such a nice table. He came back with at 11.30 and stayed till twelve as before. Have I or not a right to such things........
124,Sat May 4,05/1912,May,Mrs Pom again .. May reading. Changing eye . a nuisance. No use thinking that I can do anything in the aft but rest Tried to get Dunne for tomorrow but he could not was going to Tennessee on biz. Mrs Tuttle called up .. to ask me to go with her in their car .. Very lucky. Gor D. too and while she was here young Slater to get orders for frames. Gave him Mrs Poms. D was teasing about my light so late last night. G's to din and eve.
125,Sun May 5,05/1912,May,"Fain threatening..did not go out .. Wrote and got heaps of bills and other writing done . To Garland about building etc. To G's to lunch and home soon to dress for Untermyers. They sent at three pouring . Mrs Mansfield and Frau Langer Mrs T and D and me. Qu te a long run out and pretty though raining. Immense ugly house on wondrous site overlooking the river. Music nearly begun so we did not get very good seats. But I was hit at once by Nickische .. marvelous accompanying. Gerhardt great artist too. Chiefly German lieder. It was all the show for the people were not very interesting. Some I would have like to meet but it was not done. We ate together ,our party . and got in auto in pour. Nearly had accider coming home skidded badly ."
126,Mon May 6,05/1912,May,Mrs Pomeroy and worked very hard over dress and neck. and part of arm..Raining still.  Could only rest in aft and never can do more. except go for short walk. Din with Glenny's Alas they go this week.
127,Tues May 7,05/1912,May,Mrs Pom again and trying to leave in good  She very sweet and brought lilacs and orchids. May has returned from Washington in high feather over her success in the copy. and general rejoicing. I would like to have holiday tomorrow but have no time. Letter from H McCarter about the Doylestown trip. The Pennellar in Phila and will go with us. The Glenny's and showing spring clothes.
128,Wed May 8,05/1912,May,Mrs Kremer again and glad to bigin . I really like this best. Reading ordinary story. Still rain. Very tired of it. Nothing doing else and no signs of anyone. Getting rather bored. Gramercy P looking lovely znd a great pleasure. Also readin J. Cyristophe. Susan B to din . heard of F Este being here... To Glenny's and later to G's . Have a small douleur which is worrying.
129,Thurs May 9,05/1912,May, Mrs Kremer. and got on pretty well . I love this thing. Rain but I was not too tired to go to Freunds and bought a new stool much needed for this machine . a old peice of velveteen and a platter. Nice tim going around wit with F. .. No rest and din here with the Glenny's and friend They came in here after and I was very tired. Ran in ti the G's at ten and for a run with Anna around the Park. Heard after that John W was there and looking at window.
130,Fri May 10,05/1912,May,Still haveing Mrs K though I want rest and it was a perfect day . But it is so interesting I dont maind. Had rest and readig and then sat a long time in Park. also went to the Birkheads but did not see. Helen Bettle came and went with. Mrs Davidge in Park . Glenny's gone and I went to G's to din. They sewing on baby clothes.
131,Sat May 11,05/1912,May,A wondrous day . and concluded I must do something. So went down into Park at 9.45 and took pencil and paper . Wrote a note to J W asking him to din next week. and was very content in sun .. and lovely spring. morn. Mailed it and came up called at once to phone. J.W. .. very gay and wanting to know if he was to take me to din at the Childs .. Sherry's. No but then would I go out with him in eve. .. Yes.. of course. Laughed long and loud over the note I had just mailed. but did not tell him.      Very happy day.. Good background to work. which went well. . Rest and out for while in the Park with Fran and then D. . Then back to dress. Came at 7.30 .. Nice as ever and we went of very happy. In taxi to Plaza . Din in cafe very quiet and then go Martin last night celebration. Very hot and common did not like much except for prolonging the eve. Saw outrageous dancing Very handsome man Norman Dyk came ans was int to me. Home at 12.30 in taxi .. too speedily. and did not come up Very tired.. Am invited to spend Sunday the 2'd of June with them at Tuxedo. And am to ask the Guerin's to met him her at din on Thu s. Did not sleep well . Never do after a spr
132,Sun May 12,05/1912,May,Annaversary of my mother's death.. Does she know......  Not a lovely day.. rather threatening. I had much to think about on waking.. It is impossible for me to help wanting..... Did not go out as I intended to the Park ..Not tempting enough.. Wrote much in this sweet quiet room. To Terence. etc Called up G's at 1130 and was answered by H caling herself 'Grandma Gilder'. So it has come and is to be called Julia. I am not surprised .. but they are and very much chagrined. Poor dear Helena. It would have been the only little pleasure she can have. .. Went in to lunch and walk with D.  Then up Bown to call on F Exste.. Nice to see her though stout and much older. of course. To Met Mus by myself to see the Rodins. Did not seem quite as great as I have sometimes thought. except two portrait busts. One a man not named. Stopped for F.E and brought her down here. Very cheering to mee.. Wants me to sent to Paris next year for sure and I guees I will. Many nice fresh news from P and made me eager to go. May came in with Col Dames and I soon got them off to G's to see my things there. .. Dear Jim came at six and to din.. G's called up after and took us off in the new motor...Fine spin way up beyond Grants tomb... Mouse alas in night. ....but dear to have my Jimmy.
133,Mon May 13,05/1912,May,Mrs Pom again and began again on head.. fearlessly but do not think it is going to be one of the best. She brought lovely bunch of roses. Charming day. May read 'Sinners.' Went in at five after rest and found Mrs Van.. and tea. In hansom with her a way and walked back.. not so bd. To G's to din..Marks gorls after and Uncle Chas to talk of Grandma Gilder. He looking very handsome.  Jime for the night but late.. With one of his girls. Slept well in spite of mouse.
134,Tues May 14,05/1912,May," Lovely day but pretty cool. No news yet from G.  In mail cutting from J.W. about the Martin night. Dear Jim here and I could not stand his being in Uncle Wills old overcoat ,poor dear He breaks my heart. I made him take cheque to get another though he was most reluctant.  Mrs Pom and tried to finish head . Don't know wether I have or not. ..    Not so tired but rest of course after strawberry lunch.    Dressed and went down town to Italian Grocery to get wine f for party and got only peppers for hors do.  To Park and ITilfords finally. Also getting splendid new sponge.  Wrote a good deal and dined alone not going to G's but writing and sleep.  Wish I had Jack now.."
135,Wed May 15,05/1912,May,"A very good day full of hope .. and general niceness. Mrs P. and had along fuss over the eye and other eye but she and May both like it. better than I do.  Rest butnot much .. at four got ready for Mrs Vans and went down alone. Found pleasant people at once .. Devannoz poor dear fighting his fate as usual . Was seated betwee a Mr Kent and a young man named Robinson. when the singing began. Was int  in the name of K at once and talked much of this in between,It was quite late when Wilkie appeared .. and he somehow got beside me at once and stayed there... First words very strange .. and terribly reminiscent.. but it was an echo of youth to be in such a place listening to singing with this beside me.. Asked to walk home and did slowly sauntering.. but it was too late to come in . Nothing said of account and rather wasted. I told him the Guerins were coming and he aggreed saying that he was having a great flirtation with Mrs G.  .......    In eve I went in to G's for a while H sitting by fire in in her room and seeming very mis.. I hate it. Thought much in night though a lovely sleep. Relaxed."
136,Thurs May 16,05/1912,May,Very dark and rainy all day. Mrs P and did arm. Pretty solid. Young Slater came and we had talk about frame and pic Very cheering to have him Anna working all day over party tonight So much to get ready. After short rest I went out .to shop for caks and pansies. Arranged them in little baskets in front of plates. Hardly ready by eight when the Guerins appeared with big bunch of lilacs.. Then Matthews and finally Wilkie. All somewhat wrong from the first. and I getting hard.. F with Mrs G carried on viloently znd very obvious. Perfectly innocent of course.. Made me perverse of course. They stayed very late and Dorothea came in as they were leaving. I felt card house tumble over my head.and have to feel that I was put to the test and failed .. It seems hopeless to recover lost ground for I really am horrid when I feel that way.  Glad I did not know this was coming . I casually sai that I was going to Phila today and was wished a pleasant time. I should have spoken of it the other day.  Down.. .....
